LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID15297,15297,0,27.0,427.7163742690058,251.31286549707605,0.0,0.0,0,3.0119481662601757,1,,1202.4827586206898,1194.0,927.0,1634.0,34872.0,166.2222309116957,0.3244106396379942,3.5439874495889345,0.10886290077888847,0.18765819354565463,3.5307455308031845,2.8531720695448377,2.6743806775230485,1.237480756415241,28.5,24.964036747836243,0.5746786959811458,0.8382352941176471,4.676192523565488
ID15361,15361,0,4.0,417.5,276.5,0.0,25.0,25,1.1283791670955126,1,,1191.25,1225.0,1043.0,1336.0,4765.0,122.4537327592208,0.19763739946380693,3.210736478239869,0.0,1.9577181618906308E-16,1.6180339887498951,1.2720196495140692,1.5707963267948966,1.272019649514069,4.0,8.0,0.7853981633974483,1.0,4.0
ID15236,15236,0,68.0,427.3465227817746,261.2769784172662,0.0,6.0,6,4.703460118867115,1,,1200.4142857142858,1188.0,889.0,1828.0,84029.0,158.49596464091258,0.48652573048853937,4.95765525942672,-0.0926523432083146,-0.05745443811433182,5.946656317884998,3.9471011835709424,0.3395585888882162,1.506588263467079,69.5,35.323210350953694,0.6999617906266485,0.9025974025974026,4.237090744648325
ID15364,15364,0,6.0,417.14102564102564,274.21794871794873,0.0,21.0,21,1.438406847937898,1,,1296.857142857143,1259.0,1063.0,1745.0,9078.0,253.8046680496825,0.28849343990348364,2.2881066267207664,-0.04643104643104083,-0.06930006930008076,1.9652292175776322,1.4619805569566455,0.6245228861991277,1.3442239079215814,6.5,9.886349517372675,0.8357017280308787,1.0,3.8777453159447606
ID15302,15302,0,29.0,424.94086021505376,253.89247311827958,0.0,2.0,2,3.141274657157109,1,,1201.4666666666667,1204.0,972.0,1593.0,36044.0,142.60960293954508,0.3085346188340475,3.9729366037489733,0.36607727467439716,0.38093557664780503,4.228976642826561,3.0358181787126077,-0.9260943193532364,1.3930269844486975,31.0,25.206677434955527,0.6131127536418541,0.7948717948717948,4.527252913796679
ID15238,15238,0,53.0,426.6775700934579,257.4190031152648,0.0,4.0,4,4.126691036512523,1,,1258.75,1242.0,863.0,1673.0,65455.0,186.20112202437787,0.4640094142517654,4.285190250357024,-0.048918267562153936,0.22602228989696693,5.328046150353528,3.4388171139976498,0.22437835749664914,1.5493833995026378,53.5,33.367252484617396,0.603841212942015,0.8359375,4.5618768443926365
ID15369,15369,0,10.0,415.9,272.83333333333337,0.0,20.0,20,1.7841241161527712,1,,1172.4545454545455,1117.0,728.0,1711.0,12897.0,268.93916175832913,0.2880112741072816,1.9496730446963078,-0.024323692395533808,0.16935872641881,2.4704743281181636,1.6050389528434716,0.02752326383681782,1.5391989856330246,10.0,13.77269903474535,0.6624784408466469,0.8695652173913043,4.3553098477797825
