LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,136,0,0,0,0,0,135.0,0.0,135.0,31.147286983773995,587.3300867772873,690.8275886604742,0.0,3.0970648080007632,8.619685724766375,0.10955956819893793,2.869709108883177,1.7021980017214327,339.41911764705884,418.10374908010294,42.75329138449111,0.07449655032346195,0.23072064432425182,0.07449655032346193,1.6493282309817374
Track_1,1,1,36,0,0,0,0,0,35.0,0.0,35.0,46.01849070351922,572.7211746724075,741.4669055757231,0.0,4.100752872477715,10.94861362029162,0.5977224898392789,3.8818288881403866,2.3878204617127006,487.3611111111111,143.52635053672,46.815687766838224,0.3206274703664661,1.3148140201005492,0.32062747036646605,1.2601401370540293
Track_2,2,2,4,0,0,0,0,0,3.0,36.0,39.0,5.905522161545877,537.2506839350046,764.1969093308846,0.0,2.8023843238816153,5.735563467380579,0.9786722022109565,1.6929173020533106,2.5651883812997416,381.25,8.407152971644846,5.905522161545877,0.702440193661716,1.968507387181959,0.7024401936617161,2.2842128444897964
Track_3,3,3,21,1,0,0,0,1,21.0,40.0,61.0,5.1257259484488955,523.5459142827899,792.2925180709291,0.0,6.423494193600756,13.429576393064522,0.4129331396550235,5.979964346282797,3.961902725076328,400.4761904761905,133.85511900423552,31.723654067960474,0.038293088725928404,0.244082188021376,0.03799835115668614,1.3785208327525276
Track_4,4,4,2,0,0,0,0,0,1.0,62.0,63.0,1.9850928825655563,512.4874214621822,782.256304357327,0.0,1.9850928825655563,1.9850928825655563,1.9850928825655563,1.9850928825655563,NaN,352.0,1.9850928825655563,1.9850928825655563,1.0,1.9850928825655563,1.0,NaN
Track_5,5,5,35,0,0,0,0,0,34.0,67.0,101.0,91.78494762951661,73.60572706951072,94.58965303115143,0.0,3.9103255221937694,14.98060934173528,0.6097030614391606,3.421247764776187,3.3483180889619097,434.57142857142856,132.95106775458814,91.78494762951661,0.6903663820056015,2.699557283221077,0.6903663820056014,0.8344755191867586
Track_6,6,6,2,0,0,0,0,0,1.0,73.0,74.0,5.197680860046129,558.4123006172175,746.4931987344735,0.0,5.197680860046129,5.197680860046129,5.197680860046129,5.197680860046129,NaN,312.0,5.197680860046129,5.197680860046129,1.0,5.197680860046129,1.0,NaN
