LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID3072,3072,0,569.0,1079.904448346503,1235.2489025460932,0.0,73.0,73,13.46393256748075,1,,3171.279437609842,3262.0,955.0,4095.0,1804458.0,885.8232549615499,0.806677209234431,3.1969559404544294,0.04308002607485068,0.07788098824224966,13.92912550282038,13.190096840006879,-0.47634250533470746,1.0560290551144367,569.5,88.87225564537123,0.9060896849675087,0.976006855184233,3.7240828896169687
ID3328,3328,0,660.0,1084.7536066818527,1231.72728423184,0.0,99.0,99,14.477812681894532,1,,2886.371775417299,2767.0,1226.0,4095.0,1902119.0,1010.1555433473342,0.6704351312673734,2.293618388206164,0.17080733700461131,0.08091155275423802,15.199386004996418,14.193339231029269,0.6680093437683433,1.0708816126770044,658.5,95.62994651980556,0.9048525560125752,0.9784546805349182,3.726627833027267
ID2818,2818,0,527.0,1069.3436018957345,1233.4987361769354,0.0,49.0,49,12.957949874958986,1,,3053.2163187855786,3130.0,1309.0,4095.0,1609045.0,983.5711387878304,0.8176147292827625,2.7927281794734222,0.16141600261609415,0.034303919953646504,13.565187860239744,12.419904630391638,0.7194870204195036,1.0922135285198233,527.5,105.70601043745506,0.5932434666445511,0.9110535405872193,4.602443332679686
ID3844,3844,0,411.0,1090.1805046805048,1238.2069597069597,0.0,173.0,173,11.417000411327937,1,,3034.795620437956,3156.0,1315.0,4095.0,1247301.0,1000.7448211964452,0.5245022399406004,2.0866776931717363,0.14824275482782465,-0.19981015531714874,13.621531732862765,10.219659501028351,1.4075351438709651,1.3328753009326877,409.5,82.71409741289031,0.7521504160343855,0.9338654503990877,4.087451212369647
ID3589,3589,0,653.0,1085.6187041255378,1216.0077195646672,0.0,131.0,131,14.477812681894532,1,,2788.910197869102,2618.0,1017.0,4095.0,1832314.0,1054.9520230260212,0.5907477012717267,1.9635074469435145,-0.04116142738324033,0.01387891673131298,15.265890677412745,13.799166077330954,-1.1637223702162556,1.106290814376914,658.5,96.38713417688929,0.8906919098696967,0.9762787249814677,3.756134872405654
ID2567,2567,0,519.0,1060.1977265449887,1229.0642010886968,0.0,24.0,24,12.87168581649906,1,,3065.0959692898273,3282.0,1158.0,4095.0,1596915.0,1015.9375105721651,0.8145993245406669,2.7087590649575555,-0.20805953846987307,0.4196376355203177,13.05391781298375,13.042087718909558,0.6363217687389503,1.0009070705801986,520.5,109.81674165760874,0.5423672911471357,0.8852040816326531,4.8134690844427
ID3847,3847,0,436.0,1089.4219530949636,1238.6526336024606,0.0,174.0,174,11.746801082025407,1,,3048.511467889908,3111.0,1192.0,4095.0,1329151.0,962.029257258954,0.5310333531002205,2.1981974312910904,-0.21393417211204158,-0.1904282792226278,13.699151891373628,11.283334877679117,1.2103676271230916,1.2141048758974193,433.5,85.53865479815433,0.7445161682536485,0.9126315789473685,4.108354069402943
