LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,83,0,0,0,0,0,82.0,0.0,82.0,25.249641583730227,506.6621112377043,774.7894428516914,0.0,2.7903033239496264,13.482605404595907,0.1756737327924612,1.550191764490009,2.85174551109576,510.09638554216866,228.80487256386942,81.76638572566459,0.11035447497597303,0.3079224583381735,0.11035447497597306,1.1189294960287868
Track_1,1,1,12,0,0,0,0,0,11.0,41.0,52.0,14.66203664506127,786.2410856311925,107.06332054358752,0.0,2.0313496882636803,6.321608429434007,0.4935721150598257,1.4101728836899827,1.7458766603177682,398.1666666666667,22.344846570900486,14.66203664506127,0.6561708355677646,1.3329124222782973,0.6561708355677646,1.7125993232201746
Track_2,2,2,11,1,0,0,0,1,11.0,83.0,94.0,38.42071395687242,574.6601516552978,868.3283041261125,0.0,4.715311008481652,11.932871165123741,1.2207790210666125,4.913674994708569,3.7940330825357758,228.45454545454547,49.0676782614739,38.42071395687242,0.7830147118870086,3.4927921778974924,0.7407342106628476,1.040453202797889
Track_3,3,3,9,0,0,0,0,0,8.0,108.0,116.0,45.78417762300429,643.8926497579276,972.8895563827656,0.0,5.747080937980286,10.479846131042626,2.2316184640997667,6.200891507314602,2.5898988494885944,274.55555555555554,45.97664750384229,45.78417762300429,0.9958137469500813,5.723022202875536,0.9958137469500813,0.11204740022263189
Track_4,4,4,2,0,0,0,0,0,1.0,121.0,122.0,4.029715594955,674.3196737619253,1027.681817201208,0.0,4.029715594955,4.029715594955,4.029715594955,4.029715594955,NaN,188.0,4.029715594955,4.029715594955,1.0,4.029715594955,1.0,NaN
Track_5,5,5,22,2,0,0,0,1,23.0,127.0,150.0,33.86937189701628,678.5297100594116,1026.0736534966172,0.0,2.7505586632154726,9.642448101618115,0.24565465522768348,1.7110863821397049,2.568863203058273,208.13636363636363,61.7983032948561,33.86937189701628,0.548063135898999,1.4725813868267947,0.5353753790167521,0.7227158934184603
Track_6,6,6,9,0,0,0,0,0,8.0,152.0,160.0,9.567370025071003,791.6817925549508,107.77791451104935,0.0,1.9316178680032297,3.070644698771521,1.117185053974623,2.009117632899031,0.7321622753277929,303.6666666666667,15.452942944025839,9.567370025071003,0.6191293179380942,1.1959212531338754,0.6191293179380943,0.6224710283934521
