LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2784,2784,0,387.0,241.4636920384952,601.9400699912511,0.0,14.0,14,11.012541334134653,1,,2149.4015748031497,1715.0,916.0,4095.0,818922.0,1040.2081592782722,0.739995496312856,1.7575522897634919,0.2020293648103778,-0.09621355969815527,11.692917476821743,10.678979652246639,1.466061044041047,1.0949470696258694,381.0,81.41304191303524,0.7223486669980369,0.9247572815533981,4.170916486814773
ID2786,2786,0,394.0,239.1309373686423,592.0556956704498,0.0,15.0,15,11.23431661792888,1,,2021.874686716792,1647.0,842.0,4095.0,806728.0,960.9051110793056,0.7410799676867139,1.7912247545534374,-0.7306613576760485,-0.3695458454197187,12.61322895209186,11.12521610286457,1.385213223253343,1.133751365858336,396.49999999999994,101.0528072520442,0.48792861697114986,0.7937937937937937,5.074891796166345
ID2758,2758,0,366.0,207.07865937072503,574.2756497948017,0.0,3.0,3,10.786207090547423,1,,2059.9809782608695,1807.0,865.0,4095.0,758073.0,776.0223894682349,0.7000573203937246,2.1861954745881764,0.05732457935094763,-0.09482763526757865,17.283100376335437,7.037796358345561,0.6879476986219606,2.4557545425196605,365.5,100.64869166237321,0.4533994381616919,0.8620283018867924,5.264588650757949
ID2790,2790,0,431.0,238.7468281430219,609.2720107650904,0.0,13.0,13,11.746801082025408,1,,2210.671264367816,1919.0,934.0,4095.0,961642.0,932.4779138867826,0.815239697448531,2.129447543215962,0.07756720634020214,-0.09487037210852965,12.168521048177615,11.527629853577471,-0.8189323723217097,1.0555960941443006,433.5000000000001,79.38980999552491,0.8643098068830309,0.9633333333333336,3.813029907167523
ID2792,2792,0,350.0,216.74594078319006,584.9441260744985,0.0,5.0,5,10.53993122739152,1,,2059.9856733524357,1679.0,880.0,4095.0,718935.0,943.7228110239953,0.6555963421841994,1.7287484614181696,-0.31061438620895443,-0.8622268080195912,19.916220921202438,6.530801761590199,0.7358683429017949,3.049582830447604,348.9999999999999,110.5649297346032,0.35875709811329715,0.7798882681564243,5.918404998681453
ID2793,2793,0,400.0,229.28002528445006,605.9943109987357,0.0,9.0,9,11.220140818442932,1,,2240.520202020202,1895.0,991.0,4095.0,887246.0,1037.4699444643181,0.8092020564140989,1.9318492819513466,0.03144181799728967,0.09268333404395454,12.65893230061212,9.821263005956983,1.1398225202055918,1.2889311988625067,395.5,119.8908385807196,0.3457676482410301,0.8414893617021276,6.028548427740172
ID2761,2761,0,424.0,236.61853619729516,611.1435958631663,0.0,12.0,12,11.54867275105708,1,,2251.5938242280286,2038.0,930.0,4095.0,947921.0,882.0450365674061,0.8131791951666936,2.289680131756437,0.06492446780284815,-0.011262933719929405,12.324905135695868,11.226134530782982,1.9921817091164484,1.0978761301942326,419.0,78.5275187642355,0.853847156524629,0.9555302166476625,3.8363203342632897
