LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID43840,43840,0,507.0,302.82109788359793,14.704365079365079,0.0,5.0,5,12.666024736934256,1,,2487.6454183266933,2208.0,973.0,4095.0,1248798.0,915.8209180081022,0.5602367397907716,1.9506933340941712,0.1040928662625506,0.0620893673198435,13.07933209688373,12.487376200072884,-1.4348910864378366,1.0474043455828128,503.99999999999994,83.12209172728788,0.9166582964209278,0.9720347155255544,3.7025522442322365
ID43841,43841,0,707.0,313.14051355206846,14.466238706609607,0.0,0.0,0,14.937711679331517,1,,2600.89111747851,2400.0,754.0,4095.0,1815422.0,955.7531840471433,0.7819393602643541,2.3882872900372756,0.6702762997366558,0.36394459653113254,20.05336063345497,11.735451259756706,2.5124803428994977,1.708784791448293,700.9999999999999,141.92072161442502,0.4373571799074155,0.786315199102636,5.360271676365811
ID44740,44740,0,436.0,276.0994684889901,10.79688686408504,0.0,25.0,25,11.821084554078958,1,,2254.876712328767,1908.0,631.0,4095.0,987636.0,951.5448012536394,0.6148378132497588,1.8044930558121042,-0.011032387076437647,-0.2991099118372919,17.763545981798888,7.988840997248524,0.27991909280509764,2.223544815564225,439.0,107.05465776896689,0.4813525194819746,0.8582600195503421,5.109440043949251
ID44614,44614,0,490.0,282.52124015073656,12.76892771497088,0.0,22.0,22,12.444185776032683,1,,2283.238683127572,1905.0,738.0,4095.0,1109654.0,950.3082888956772,0.7099488224315104,1.9950818733536066,-0.6463864579595648,-0.7698343706158574,18.862328891341065,8.791449985571095,0.3719284974289976,2.145531046903381,486.5,111.0072065598128,0.49612414177393654,0.8001644736842105,5.032800921407271
ID44232,44232,0,619.0,308.1942864879502,13.804630381803412,0.0,4.0,4,13.997133097392592,1,,2548.7479674796746,2331.0,732.0,4095.0,1567480.0,971.9098059510685,0.6862475774585465,2.1344717429865345,1.286915851193274,0.21095733651398765,18.88283126363397,11.21934975498252,2.519669920603085,1.6830593283936168,615.4999999999999,127.29276340272881,0.47734292707680626,0.8072131147540982,5.130854345180648
ID44619,44619,0,427.0,285.2440406408753,12.59300508010942,0.0,21.0,21,11.651573561428807,1,,2258.8337236533957,1855.0,1067.0,4095.0,964522.0,958.3266754547813,0.6890890028560487,1.923195642258499,-0.24561889370878728,-0.029959297624018787,19.902731223790756,7.267954019289415,0.054769615262168135,2.738422831372926,426.50000000000006,107.23083087804386,0.4661112200854984,0.8100664767331435,5.192304498410141
ID44109,44109,0,503.0,300.8243512974052,16.541583499667333,0.0,8.0,8,12.628271971179553,1,,2530.868,2235.0,992.0,4095.0,1265434.0,893.4166066522865,0.6478890275870188,2.2275021530556227,-0.013867540343689672,-0.02672001717809212,13.099141979449431,12.443215178977072,1.3198045462132277,1.0527136106735946,500.99999999999994,83.12539612748049,0.9111295542859492,0.9690522243713734,3.7137688141685548
