LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,54,0,0,0,0,0,53.0,0.0,53.0,29.602945610406504,1003.4925965944938,391.99145505640746,0.0,2.089105410436518,10.964547637469511,0.31394644222400325,1.4137810865867388,2.0303546233268652,209.2037037037037,110.72258675313547,29.602945610406504,0.2673613982340256,0.5585461435925756,0.26736139823402566,1.657003658322985
Track_1,1,1,17,0,0,0,0,0,16.0,0.0,16.0,67.20335797841793,595.7003644298132,470.5503656165861,0.0,5.753152819588744,14.224582892906843,0.6916551066249722,5.263832662735398,3.672753433022357,595.7058823529412,92.05044511341991,67.20335797841793,0.730070972450088,4.20020987365112,0.7300709724500881,0.49946813294550213
Track_2,2,2,75,0,0,0,0,0,74.0,0.0,74.0,35.65043591851896,847.1748880631296,319.06724809159687,0.0,3.3532970304367438,10.574617432201999,0.5720222513598808,3.161851927744507,1.7861897307091406,141.30666666666667,248.1439802523191,38.59240042634075,0.14366834884436322,0.4817626475475535,0.14366834884436325,1.804531545762151
Track_3,3,3,12,2,0,0,0,1,13.0,0.0,13.0,12.641636153080668,837.8144088123394,314.4825180019354,0.0,6.481740892621668,11.100550536897819,1.433720877840446,6.456014509232617,3.323238538527544,19.0,75.4995332141194,18.39401756553745,0.16743992465792515,0.9724335502369745,0.15002660031411014,1.3378943238102199
Track_4,4,4,2,0,0,0,0,0,1.0,24.0,25.0,3.2452600765541106,852.5982398239823,317.07348734873483,0.0,3.2452600765541106,3.2452600765541106,3.2452600765541106,3.2452600765541106,NaN,78.0,3.2452600765541106,3.2452600765541106,1.0,3.2452600765541106,1.0,NaN
Track_5,5,5,4,0,0,0,0,0,3.0,25.0,28.0,18.387503294095524,644.5448834348574,684.4505401756717,0.0,7.5446815292997265,12.40515495974289,3.7650497799929354,6.463839848163353,4.420296193022224,494.25,22.634044587899176,18.387503294095524,0.8123825692172588,6.129167764698508,0.8123825692172586,0.7996265920955848
Track_6,6,6,2,0,0,0,0,0,1.0,23.0,24.0,14.061747489368251,620.1097178683385,659.9411354928596,0.0,14.061747489368251,14.061747489368251,14.061747489368251,14.061747489368251,NaN,239.0,14.061747489368251,14.061747489368251,1.0,14.061747489368251,1.0,NaN
